X_0,X_1,X_2,X_3,target
4,3,5,6,363.4462983986566
9,9,10,3,1619.5657579522083
7,2,7,4,385.1087750183836
3,2,4,0,246.139654098202
3,4,1,1,134.69157002029982
1,6,1,7,211.67352523141528
8,8,8,2,1252.424350773828
6,6,0,7,98.72785747685532
0,2,9,5,484.54835395954495
4,1,7,9,260.5477667169037
7,8,0,5,111.89303931842142
1,3,5,4,335.51930004622164
6,3,7,4,446.53937170462837
8,8,2,6,449.37407457044344
7,8,5,4,825.8876576411104
7,1,1,6,102.51082776837985
7,0,9,3,211.32675850352027
0,4,1,0,116.56090659224091
1,6,4,6,465.79799893761316
4,10,0,7,137.69297196696718
6,9,2,3,464.2284315853039
0,6,7,5,815.0314786684054
9,3,8,5,481.19617181165233
6,1,8,4,340.07177698871016
9,6,0,2,94.50804619353248
2,1,9,5,267.7075610300335
5,6,7,4,730.2570133912209
2,6,2,9,336.80776622503726
3,7,0,9,79.64788999116196
5,8,3,0,481.8790914308158
4,7,5,1,743.8578038799349
6,0,8,5,191.01319416122848
6,5,6,8,615.7869496210355
6,5,6,9,600.8015835058643
9,6,6,3,771.3856559539944
7,5,8,8,724.972325218235
6,6,3,1,376.313859803089
0,5,7,1,706.5522639264959
1,5,3,7,340.6608896265472
7,9,6,2,1011.3006351458926
3,0,7,8,152.19830899458145
2,1,6,4,169.8342268993067
9,4,4,4,377.6415207577013
3,6,3,9,366.5249107784699
0,1,2,1,70.08682478933639
1,8,9,7,1582.7653013618233
7,2,0,0,77.22857609439156
0,9,4,8,647.9414781620557
1,5,4,8,431.46180983153954
1,1,0,9,59.97681626423529
2,7,2,10,359.9632864823897
9,3,5,3,341.16604360400106
3,5,9,2,889.0166406308681
8,2,2,0,150.176348148207
3,4,4,8,364.0100654992078
4,7,3,8,406.22458770776495
9,9,2,8,491.78750135921445
8,6,4,6,468.66294298741354
1,9,2,3,466.4549428679232
4,8,5,6,974.9220854403468
3,9,5,5,1029.2633766352444
6,4,9,3,751.6758290639817
1,2,6,1,331.8858634937275
0,2,1,7,90.51987060287934
3,3,2,6,176.8773850973957
7,4,8,9,618.3198232404435
5,0,5,4,138.38574514402796
8,1,8,9,266.6060341503003
1,8,3,1,476.55105237902603
4,2,5,1,246.49216163396125
6,5,9,5,895.6124270303411
8,7,1,7,256.874628655053
7,2,1,2,130.7554884742633
6,0,5,2,138.74725159075015
1,8,4,3,675.2589813123075
8,1,7,0,228.86190080195797
5,7,4,6,590.2477790639582
3,1,1,1,108.35780242336942
5,6,5,1,720.1859228338525
5,1,5,2,156.16630852758757
2,9,7,8,1214.488603213906
8,4,1,8,150.57906763633403
1,3,7,9,384.7184542228457
4,8,9,2,1374.632680802193
4,4,1,2,155.13241410174732
10,0,3,5,108.53567940060232
9,4,8,6,573.1718489131134
1,2,0,1,62.03094793594667
3,5,6,7,630.9200783747684
4,0,3,2,73.717247071561
4,2,4,1,231.8237221124161
9,5,0,0,85.4289491757967
5,4,2,5,215.8107354071768
2,2,1,6,85.25217967381266
0,4,9,0,643.9984748584134
2,6,6,4,786.0442139354271
5,8,7,4,1158.447271659229
7,9,3,0,646.7993932558664
5,3,1,7,97.89257716236453
0,0,9,9,154.4600767813269
