X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,X_92,X_93,X_94,X_95,X_96,X_97,X_98,X_99,target
8,1,6,7,2,8,1,7,5,9,3,5,1,2,9,7,6,4,7,6,0,4,6,5,3,1,2,7,3,8,7,8,2,1,5,1,7,6,5,2,6,1,2,3,9,7,6,8,5,0,7,7,4,2,7,8,2,8,3,2,9,2,4,8,0,0,5,9,8,7,2,9,8,3,4,1,3,3,7,0,3,5,8,8,6,7,6,4,1,8,8,7,2,0,7,1,6,5,1,8,46.65929042456642
5,9,7,1,8,1,2,1,5,1,5,4,8,3,6,9,1,1,7,3,6,0,3,4,1,0,6,0,3,7,1,1,7,3,7,7,9,2,8,4,2,0,1,4,9,6,6,0,2,8,2,8,0,4,9,3,8,9,6,8,9,4,2,7,4,8,2,5,6,7,1,2,4,7,3,3,5,2,7,5,1,5,0,1,7,2,1,2,8,0,8,5,4,0,1,0,4,1,4,4,17.096290284362126
8,4,9,5,1,5,2,7,8,8,7,3,6,1,8,4,7,6,2,5,7,8,1,4,4,2,5,9,5,7,1,8,6,2,4,0,6,9,8,4,2,1,8,2,7,6,3,4,6,8,6,3,5,0,3,6,8,2,5,6,9,0,0,0,4,4,6,9,2,5,4,5,1,4,7,1,8,2,1,2,3,6,3,8,7,5,3,4,5,7,3,6,3,8,0,0,3,4,1,6,-214.15738412700838
2,7,0,0,7,7,3,2,8,2,9,1,6,2,6,2,1,0,3,4,0,5,0,2,7,9,6,5,4,1,5,7,6,4,0,6,8,6,1,9,5,4,1,7,7,1,5,7,1,8,5,1,7,4,4,6,1,2,7,7,7,2,3,1,5,0,6,2,3,3,8,3,8,6,5,7,2,0,4,6,8,1,6,4,6,7,6,3,4,9,1,4,0,4,8,7,2,8,0,9,-45.13233943679474
3,5,1,1,2,1,1,0,9,2,1,9,6,7,5,5,9,5,9,5,4,9,0,6,5,1,6,0,1,3,4,4,3,8,6,6,0,1,5,5,2,5,3,0,4,8,0,7,2,5,3,7,9,1,2,1,7,1,9,1,7,3,7,2,5,1,8,6,7,4,9,3,2,8,6,2,0,3,5,8,8,7,7,5,1,2,7,9,8,7,0,6,7,7,5,1,8,5,3,3,-472.3680475801219
1,1,2,2,8,7,4,8,4,9,2,1,5,1,9,2,7,8,0,5,8,7,2,6,0,0,6,1,0,3,6,5,1,2,0,3,1,5,2,1,2,4,0,3,4,3,4,7,8,5,4,4,3,8,9,3,6,2,6,2,0,0,8,6,1,0,6,3,2,7,9,3,6,1,6,5,6,1,7,4,1,7,2,9,1,2,7,2,8,5,8,4,3,4,6,7,2,2,0,3,-169.10928215962923
3,3,4,5,8,5,0,7,6,7,6,0,3,5,7,2,4,9,3,4,2,6,6,3,1,1,1,6,7,3,1,2,5,4,8,9,0,6,5,3,8,4,4,0,0,3,7,0,5,3,5,3,3,9,3,4,2,8,4,7,7,8,3,2,9,2,8,7,5,8,7,3,8,4,9,9,7,0,6,5,0,5,4,6,9,3,2,8,4,7,6,3,7,3,4,2,2,7,1,4,-203.92692076084666
5,4,5,3,3,1,1,2,8,2,5,5,8,3,4,2,8,1,2,8,4,1,4,1,1,3,3,7,0,5,2,7,0,4,4,9,3,1,4,3,8,6,2,7,4,9,2,1,6,5,0,6,9,6,5,8,9,7,6,0,2,5,0,5,5,7,5,6,2,0,8,7,2,5,0,3,6,3,8,7,8,3,3,3,9,7,5,4,1,5,7,2,2,8,6,5,8,5,6,7,-264.5294378064199
7,6,8,4,4,1,6,3,0,1,5,7,4,6,5,7,8,6,4,2,1,3,4,9,6,1,7,1,4,8,1,2,5,1,0,2,3,7,2,7,6,7,3,4,2,5,7,6,3,4,2,9,8,0,2,4,4,2,3,0,4,5,0,8,7,8,2,9,4,9,2,2,6,8,2,0,1,2,6,3,2,8,7,6,5,2,0,1,8,8,4,0,6,7,2,2,6,8,0,2,-170.43861515553428
8,8,2,3,0,2,0,7,8,5,9,7,7,8,3,7,7,3,2,3,5,1,8,8,1,4,7,9,9,3,5,3,7,3,4,2,4,1,9,9,1,4,7,2,2,8,9,0,2,9,2,8,3,5,5,5,9,1,5,8,6,3,7,9,4,4,1,4,7,8,1,3,0,1,6,7,5,4,0,3,6,2,1,7,0,2,0,4,8,2,1,1,6,9,0,9,6,7,3,2,276.1528568819116
