longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,target
1,8,8,0,0,0,0,9,0,452600.0
1,7,3,8,8,8,8,9,0,358500.0
1,7,10,2,1,1,1,9,0,352100.0
1,7,10,1,1,1,1,8,0,341300.0
1,7,10,3,2,1,2,5,0,342200.0
1,7,10,1,1,0,1,6,0,269700.0
1,7,10,6,5,4,6,5,0,299200.0
1,7,10,7,7,4,7,3,0,241400.0
1,7,8,6,7,5,7,1,0,226700.0
1,7,10,7,7,6,8,5,0,261100.0
1,7,10,5,4,3,4,4,0,281500.0
1,7,10,7,8,6,8,4,0,241800.0
1,7,10,6,5,4,5,3,0,213500.0
1,7,10,0,1,0,0,2,0,191300.0
1,7,10,6,7,5,7,1,0,159200.0
1,7,9,1,2,1,2,1,0,140000.0
1,7,10,4,3,2,3,3,0,152500.0
1,7,10,1,2,1,2,1,0,155500.0
1,7,9,5,5,3,5,1,0,158700.0
1,7,10,2,2,1,2,2,0,162900.0
1,7,8,0,0,0,0,0,0,147500.0
1,7,8,3,3,3,4,0,0,159800.0
1,7,10,5,6,4,6,0,0,113900.0
1,7,10,3,3,2,3,1,0,99700.0
1,7,10,5,5,3,5,2,0,132600.0
1,7,8,0,0,0,0,2,0,107500.0
1,7,9,1,1,1,1,2,0,93800.0
1,7,10,4,4,4,4,0,0,105500.0
1,7,9,4,5,4,5,0,0,108900.0
1,7,10,0,0,0,0,0,0,132000.0
1,7,9,4,5,3,4,1,0,122300.0
1,7,10,5,5,4,5,1,0,115200.0
1,7,9,4,4,4,3,0,0,110400.0
1,7,9,3,3,2,3,0,0,104900.0
1,7,9,6,6,5,6,2,0,109700.0
1,7,9,1,2,1,2,0,0,97200.0
1,7,9,3,4,3,4,0,0,104500.0
1,7,10,2,4,3,4,0,0,103900.0
1,7,10,2,3,1,3,4,0,191400.0
1,7,10,5,7,6,8,2,0,176000.0
1,7,10,3,4,3,4,1,0,155400.0
1,7,9,1,2,1,1,0,0,150000.0
1,7,9,0,1,0,1,0,0,118800.0
1,7,10,1,1,0,1,6,0,188800.0
1,7,10,2,2,1,2,3,0,184400.0
1,7,10,3,4,2,4,2,0,182300.0
1,7,9,1,2,1,2,1,0,142500.0
1,7,8,1,2,1,2,0,0,137500.0
1,7,8,0,1,0,0,0,0,187500.0
1,7,8,1,3,1,3,0,0,112500.0
1,7,3,1,5,2,5,0,0,171900.0
1,7,8,4,5,4,4,0,0,93800.0
1,7,8,7,8,8,8,0,0,97500.0
1,7,10,3,5,4,4,0,0,104200.0
1,7,10,1,1,1,1,0,0,87500.0
1,7,10,1,1,1,1,0,0,83100.0
1,7,10,1,2,1,2,0,0,87500.0
1,7,10,2,3,2,1,0,0,85300.0
1,7,10,2,3,4,2,0,0,80300.0
1,7,0,0,0,0,0,2,0,60000.0
1,7,10,1,1,1,1,4,0,75700.0
1,7,9,0,0,0,0,8,0,75000.0
1,7,9,0,1,0,0,0,0,86100.0
1,7,10,1,1,1,0,0,0,76100.0
1,7,9,0,0,0,0,2,0,73500.0
1,7,10,1,1,1,1,0,0,78400.0
1,7,9,2,3,2,3,0,0,84400.0
1,7,10,1,1,1,0,2,0,81300.0
1,7,10,0,0,0,0,1,0,85000.0
1,7,9,6,7,7,7,0,0,129200.0
1,7,4,0,0,0,0,0,0,82500.0
1,7,9,1,2,1,2,0,0,95200.0
1,7,9,0,1,1,0,0,0,75000.0
1,7,9,0,0,0,0,0,0,67500.0
1,7,2,0,0,0,0,2,0,137500.0
1,7,2,1,5,2,5,0,0,177500.0
1,7,7,6,6,5,6,2,0,102100.0
1,7,2,1,1,2,1,0,0,108300.0
1,7,3,3,3,4,3,0,0,112500.0
1,7,7,0,0,0,0,1,0,131300.0
1,7,2,1,2,1,2,0,0,162500.0
1,7,10,0,0,0,0,0,0,112500.0
1,7,10,0,0,0,0,0,0,112500.0
1,7,10,0,0,0,0,0,0,137500.0
1,7,6,1,0,0,0,0,0,118800.0
1,7,10,0,0,0,0,2,0,98200.0
1,7,8,0,5,1,4,0,0,118800.0
1,7,0,0,3,1,3,0,0,162500.0
1,7,0,0,0,0,0,0,0,137500.0
1,7,10,0,0,0,0,0,0,500001.0
1,7,1,1,4,2,4,1,0,162500.0
1,7,10,0,0,3,0,0,0,137500.0
1,7,10,0,0,0,0,0,0,162500.0
1,7,4,1,3,2,2,2,0,187500.0
1,7,7,3,7,5,5,1,0,179200.0
1,7,7,8,9,8,9,1,0,130000.0
1,7,5,8,8,8,8,3,0,183800.0
1,7,5,0,0,0,0,1,0,125000.0
1,7,3,8,8,8,8,0,0,170000.0
1,7,7,8,8,7,8,2,0,193100.0
1,7,5,8,9,8,8,2,0,257800.0
1,7,4,8,9,8,9,4,0,273400.0
1,7,7,0,1,0,1,3,0,237500.0
1,7,10,5,7,3,7,2,0,350000.0
1,7,6,8,9,8,9,3,0,335700.0
1,7,10,2,1,1,1,7,0,313400.0
1,7,10,4,5,2,5,4,0,268500.0
1,7,10,3,5,1,5,4,0,259400.0
1,7,10,7,8,6,8,5,0,275700.0
1,7,4,7,8,6,8,5,0,225000.0
1,7,10,2,2,1,2,7,0,262500.0
1,7,5,8,8,7,8,2,0,218500.0
1,7,4,8,8,7,8,3,0,255000.0
1,7,10,5,6,3,6,3,0,224100.0
1,7,6,3,4,1,5,4,0,243100.0
1,7,10,1,2,1,2,3,0,231600.0
1,7,4,8,9,8,9,2,0,218500.0
1,7,10,8,8,7,8,3,0,234100.0
1,7,9,6,4,3,4,8,0,327600.0
1,7,9,7,5,4,6,8,0,347600.0
1,7,8,6,4,2,4,8,0,366100.0
1,7,7,0,0,0,0,7,0,335000.0
1,7,10,6,4,4,4,8,0,373600.0
1,7,10,7,6,5,6,8,0,389500.0
1,7,10,6,3,3,4,9,0,391100.0
1,7,4,8,8,8,8,8,0,337300.0
1,7,9,7,5,4,6,9,0,295200.0
