X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,target
3,5,9,6,5,5,5,6,8,4,205.86774641787818
8,2,5,8,3,8,5,6,8,4,159.57923419509268
5,9,5,9,4,2,3,6,5,1,52.88800304475509
1,8,8,3,7,0,2,5,9,8,-2.4297782847399816
3,8,0,8,1,2,1,1,5,6,-259.7736443157013
2,8,6,3,7,2,1,1,1,7,-120.65995563885619
1,0,4,3,5,5,3,4,2,7,-246.6175578318596
2,3,8,0,7,7,3,6,2,7,-21.552617748125417
8,5,5,6,3,1,3,5,0,4,-29.64315604370745
2,7,4,8,6,8,6,3,0,7,-62.351631971344275
1,8,9,6,1,8,6,6,4,9,164.74961020079925
2,5,7,1,8,2,8,5,4,4,33.84123985323408
1,8,9,0,0,6,0,0,3,6,-98.12717989409211
1,7,9,0,2,6,1,6,8,4,50.55416009101761
8,8,8,2,6,2,2,6,2,1,164.9666741197613
8,2,0,2,7,8,3,9,1,8,1.1011436230709535
3,9,5,8,6,2,7,6,6,4,136.52437627080275
4,3,8,9,1,4,6,4,7,9,152.83290400176648
3,6,8,0,4,7,2,2,3,6,-29.78733644712269
7,8,5,8,7,8,7,0,8,0,146.83984147719116
9,6,2,1,6,5,0,7,2,7,45.693837354838024
2,7,5,3,5,6,9,1,4,9,196.07492661238774
1,5,4,7,2,6,8,3,0,8,-31.92166744446334
2,2,7,3,1,1,0,2,5,8,-175.11818134052464
7,9,8,0,7,7,5,2,2,7,191.93602949073727
3,7,2,2,8,8,7,1,2,4,-60.27691818297751
6,1,0,9,5,5,3,1,9,1,-148.89363764911246
3,7,9,6,2,7,5,0,8,7,91.86391200445163
0,9,2,7,6,7,9,2,0,1,63.94350593154187
6,8,8,4,6,2,1,2,3,1,35.140973095122
4,5,6,3,8,1,6,8,6,5,76.86842949496531
1,9,1,8,7,6,2,5,4,7,-95.56405214665558
6,3,4,8,3,1,9,2,5,3,139.13332676982444
8,1,4,2,3,8,8,7,1,4,105.07763358306275
5,7,4,1,3,5,8,6,2,9,185.53366328725218
3,1,2,1,7,0,8,2,3,5,-119.4653900901045
7,2,6,6,5,5,3,9,5,5,116.72644253553852
8,1,2,5,7,8,4,1,1,7,-58.50329347307796
1,3,1,7,1,9,3,9,8,7,-70.1103496705632
5,0,5,2,2,1,8,2,5,8,-12.739112982959298
9,8,3,2,7,7,8,6,9,8,347.9601305931809
8,5,7,2,1,4,5,5,9,8,206.39545423832192
2,3,2,0,6,2,3,6,3,8,-171.93613107451586
4,7,5,8,3,1,9,0,2,5,42.02745049200532
2,7,3,6,5,0,3,9,3,0,-114.66121108512763
4,1,2,9,8,9,9,6,5,1,161.70987227510614
9,5,5,9,8,4,7,5,8,4,257.64635480543956
3,1,5,3,5,3,1,1,8,6,-175.497150907299
4,2,1,3,7,9,1,7,2,3,-151.12974316774867
8,0,9,4,1,8,3,4,5,2,126.60624333561292
3,0,7,1,3,5,6,9,3,9,13.715830063073838
1,2,1,1,1,9,3,7,5,5,-167.63086880082756
4,8,1,1,2,0,9,8,8,6,184.19749050111812
7,1,5,9,9,5,3,8,5,7,68.58003779589203
6,3,8,5,8,0,7,1,0,8,59.01323356546163
9,2,0,1,1,4,5,6,3,8,45.57469520791676
8,9,1,0,4,4,7,4,5,2,136.5707364515551
3,4,7,9,2,5,2,2,6,0,-106.22877063716162
0,3,4,0,7,0,0,7,4,5,-446.5637422105157
8,1,5,6,0,9,7,3,8,1,174.79267261569586
0,9,1,6,2,5,4,3,8,6,-212.20778906649704
6,2,2,6,6,9,0,7,7,9,-39.09140458185031
9,4,8,3,0,6,1,6,1,9,158.62731684570554
9,9,3,6,9,3,9,0,2,4,207.2605464157984
7,3,9,3,4,1,8,4,9,1,269.0120490562432
5,1,9,9,0,0,4,4,2,2,-1.8914192058101662
4,9,9,4,6,8,6,8,9,7,433.02271167277195
8,6,9,6,7,8,1,4,9,8,294.09142701056544
1,3,4,8,7,2,7,2,1,8,-116.3690250453331
8,6,7,3,4,9,4,6,3,6,215.4715020470162
4,4,6,0,0,6,6,6,5,1,44.655962026027076
6,5,6,1,2,8,5,6,2,8,130.98613346243334
1,0,1,1,8,2,4,2,7,6,-268.34887983290025
1,1,7,2,1,8,1,5,7,2,-143.39462654472862
7,0,4,7,0,8,2,8,5,7,-54.85210471645287
3,5,6,1,4,0,6,1,3,3,-91.22456333556339
7,5,1,2,1,4,8,3,8,0,77.06743106756034
7,7,1,0,9,4,9,6,5,6,142.39369998930079
2,5,4,8,8,7,1,3,2,4,-134.47393020694324
1,5,5,1,3,6,5,9,5,7,40.888637914110426
8,5,0,3,6,4,3,6,1,5,-66.4462490436801
3,7,1,4,6,5,3,3,8,7,-70.36986716504622
9,5,2,0,1,2,3,6,7,7,118.14021847341003
5,3,2,5,6,8,2,9,3,5,-3.444327882169059
3,2,8,0,2,8,9,9,1,2,165.0146934546467
7,0,0,4,8,9,9,4,7,8,122.73884750218107
6,0,8,7,4,6,5,1,8,0,11.366007378336008
9,4,6,5,5,6,6,6,1,5,191.57176849489053
6,0,5,7,1,9,5,9,4,2,120.74829708598146
9,7,8,4,6,2,7,7,1,9,279.1203888523966
1,2,4,2,1,2,1,1,7,5,-251.81907488044408
2,8,8,8,4,4,5,7,7,8,153.48420043043154
1,0,7,2,1,7,3,7,1,0,-293.94803919564185
0,6,0,4,5,9,2,5,4,1,-239.72780951450028
6,8,6,4,2,1,7,1,5,8,130.10650194443753
5,9,7,8,7,9,8,4,1,2,230.89940604186228
8,2,5,4,2,0,4,5,3,4,2.1165755997517195
6,6,9,8,8,7,7,2,7,0,301.60050575332104
6,5,2,0,9,4,0,4,5,6,-175.20035657042084
5,6,8,3,4,6,6,0,1,3,56.73479111685852
7,2,4,1,6,7,2,8,9,6,87.1581270382105
6,6,4,8,3,2,8,3,5,7,143.6427136166495
0,6,5,2,4,7,1,2,1,1,-308.4775152634148
3,4,5,5,6,2,6,8,7,2,11.79420857902393
4,2,8,3,4,1,7,8,4,6,115.75133670539475
1,9,9,7,1,5,1,1,7,3,-41.78245810670525
7,7,1,4,7,9,4,5,5,9,116.19435916345472
9,9,5,5,7,4,4,2,2,1,179.155333240199
4,3,3,0,2,2,7,5,6,2,-35.05369858191133
7,8,4,7,3,5,5,8,6,1,149.66577370729914
4,0,1,2,3,1,0,1,8,9,-441.53938956696186
0,8,3,1,8,1,7,3,5,1,-102.61725437002522
4,8,4,1,7,1,4,6,8,6,10.147248510551599
7,1,1,4,1,8,3,8,1,5,-36.935523584061826
0,0,1,6,1,8,1,7,8,6,-345.14319259740864
5,8,5,8,8,6,1,1,6,7,2.1664818636609056
5,8,4,3,2,1,3,4,7,3,-23.038164418022717
9,8,2,4,3,9,9,8,1,3,350.5954667049858
1,9,9,9,3,5,0,4,7,8,71.6971775873948
3,1,5,0,9,4,8,4,3,1,-57.802709114262676
4,5,8,7,4,4,0,9,1,0,-161.38152810107397
0,4,2,7,2,4,7,1,7,6,-168.86558464277377
5,0,3,2,1,6,7,3,8,8,-2.7600846408295396
6,7,5,8,0,2,8,8,4,6,180.68155102143643
4,7,0,4,1,9,6,0,6,7,-70.74894289141366
3,9,1,6,2,9,8,8,6,6,163.72663313462294
6,1,7,1,8,2,7,1,2,7,25.83960854531513
7,1,6,7,9,4,7,1,0,1,-39.97229833022445
0,6,1,6,3,5,6,2,8,7,-135.20639577284518
1,7,6,4,6,0,6,6,0,5,-131.72633598676114
5,7,9,0,4,0,4,1,8,2,85.30457062264496
9,7,2,3,1,4,1,1,7,1,8.547318622764735
1,6,4,2,8,3,4,1,8,7,-89.19828068755697
3,7,2,2,4,7,1,3,1,7,-169.00141109967097
1,1,0,9,8,6,0,0,8,6,-413.468889608096
1,2,9,6,8,6,6,3,1,6,73.78930101514746
1,0,3,1,3,1,8,8,5,8,-149.0746911030969
2,8,5,3,2,7,7,9,1,7,78.86735012229774
3,7,1,2,9,3,1,6,8,8,-142.7192509621326
3,5,8,1,6,6,4,9,4,7,104.22810037390195
5,1,8,2,8,0,9,4,9,6,167.72222619667156
9,6,3,8,3,7,8,8,5,7,325.2805002895351
5,7,1,2,4,1,9,1,1,7,108.52022239140348
9,9,1,7,5,5,5,8,0,0,171.5079590788891
8,7,8,2,8,1,4,9,8,6,229.7890664524769
4,4,9,4,4,0,2,4,4,7,80.12066126719309
2,2,4,2,2,2,4,5,8,6,-91.55815690183454
8,3,5,2,0,8,5,2,6,4,118.47500885841761
9,3,9,5,5,6,3,6,4,1,221.2153423933841
3,8,7,7,3,0,3,8,6,0,-5.223482545306496
2,6,2,4,5,7,4,4,6,5,-51.680385896417235
6,0,4,5,4,9,6,1,2,8,-27.57063211829086
2,1,8,0,3,6,7,0,3,2,-78.74553244521167
1,9,0,0,7,0,9,4,2,3,-102.99625636755484
2,1,6,2,2,2,9,9,8,2,153.03867128199295
0,2,1,8,5,7,7,2,7,2,-232.90609109764387
6,9,9,9,8,1,9,0,5,0,390.05922236121705
9,2,8,3,5,4,7,3,6,2,246.80949045490414
2,2,3,9,2,2,6,4,1,9,-96.96231058628771
1,4,6,1,2,3,3,0,2,5,-217.12943509811547
4,6,8,8,0,1,9,4,0,7,141.06727690796436
6,9,5,1,4,2,7,6,8,3,214.56645613130658
8,2,0,1,9,2,6,0,2,1,-132.71157790238095
4,7,2,3,8,2,6,2,9,1,14.374872361155568
6,1,3,0,4,2,3,1,6,9,-87.80369497489346
4,3,8,6,3,2,1,4,2,7,-45.959005849886196
7,4,5,5,6,2,3,1,1,6,-46.414807366791386
2,1,0,6,1,8,7,2,9,6,-133.74559473284955
8,3,2,6,4,0,3,5,1,9,-17.151436249289862
7,0,7,4,8,5,0,3,6,1,-139.01223570687796
8,2,6,6,7,6,4,8,0,5,115.4573519806354
0,1,2,4,1,1,1,1,2,5,-373.2556137157527
8,7,7,4,9,2,9,2,9,8,443.94819404233033
3,1,2,4,7,7,8,1,9,2,-33.169388192440486
7,1,0,7,6,2,8,6,2,2,-56.937598723986326
4,1,1,0,4,6,7,4,8,0,-98.17499453321565
8,0,3,6,7,6,1,7,6,7,-0.27659237569960027
1,4,0,5,7,3,3,1,8,9,-235.93959881756044
9,6,2,8,2,1,5,9,7,4,187.40658154901237
2,6,1,7,6,4,6,9,0,7,-57.407847403660455
3,5,0,7,0,1,8,1,1,8,-145.19988724052186
6,3,1,2,7,8,4,4,1,4,-82.91305562268295
1,1,4,1,4,8,4,5,2,7,-144.65707558187464
1,6,9,6,2,2,5,6,9,7,136.4231459576763
2,3,0,1,2,8,2,2,7,8,-237.292659579782
7,1,5,3,1,1,6,1,3,3,-41.70433699920638
4,2,3,1,9,5,5,5,5,4,-37.78887012594464
3,5,8,8,3,6,9,4,6,7,244.0526103243798
1,5,8,1,8,7,8,1,8,6,96.96891346206851
8,5,4,2,0,6,7,9,2,6,182.15429147703477
5,4,4,7,3,8,0,1,1,9,-126.87491042409586
9,5,0,5,1,7,7,7,5,7,134.3514473309184
2,0,9,2,1,4,5,5,6,0,-38.29968308339408
1,1,0,6,5,3,5,9,1,6,-264.2352854824394
5,6,8,1,1,9,2,4,4,1,93.58730451095013
4,9,6,1,4,5,3,1,0,1,-26.36335361645002
7,7,3,0,5,9,5,2,3,3,74.64749113079739
2,6,9,2,6,6,3,6,9,3,153.6878534505276
3,0,9,6,8,3,6,3,9,8,60.505825742401726
4,8,3,2,7,2,2,5,6,1,-73.76566344663406
6,5,1,7,4,6,6,1,1,4,-94.41538227056199
2,9,7,2,4,7,1,7,0,4,-17.975342466812982
8,6,5,4,1,1,3,6,7,6,88.65382385017158
9,5,1,0,1,8,1,7,9,5,129.3436261152524
0,8,6,9,7,6,6,4,7,8,28.263129725194673
5,5,2,8,1,7,5,7,7,9,60.530340807628285
5,9,7,8,6,6,6,3,1,5,159.29629173065393
3,8,0,9,8,5,7,9,5,1,3.28253586903476
4,4,9,6,4,6,8,9,0,6,221.74892017790927
3,9,8,7,8,3,1,2,0,1,-59.54415141637489
8,5,3,0,1,0,9,1,4,1,11.159806120168483
3,9,6,7,9,9,3,6,1,0,33.5408697204675
5,6,8,4,4,6,8,9,1,8,248.8924149524243
7,3,7,6,4,0,9,2,3,4,235.21038877530884
0,5,9,9,2,6,5,9,1,9,84.37535318903542
5,3,4,8,5,2,4,3,7,4,-30.931477465577302
7,3,8,3,6,9,7,9,6,0,257.5724232873977
5,9,6,9,8,3,9,1,4,2,244.37159406717237
6,9,2,1,7,7,9,8,4,6,248.44218665925777
0,4,7,2,1,0,4,2,9,8,-185.92395672823608
9,5,5,1,1,8,3,8,0,2,146.30864952623355
4,7,5,9,2,1,0,0,2,9,-183.19167637497964
8,2,1,7,5,4,8,7,1,2,56.32649274332451
4,7,6,5,4,4,2,3,0,2,-159.15260376789922
1,5,5,0,2,1,8,8,3,5,-31.46890004335738
8,0,0,5,8,6,3,5,1,2,-105.44179088086102
4,0,8,9,7,1,2,7,8,6,-20.749972190827137
3,1,3,2,5,4,2,7,8,2,-119.58734676554279
4,1,9,8,8,0,5,1,2,8,-0.5745153236353246
9,7,3,6,9,3,5,8,8,7,300.68131167939475
6,1,1,9,1,4,0,9,1,8,-220.3784015526259
9,8,4,7,1,3,3,5,3,8,147.06925165931733
8,8,7,4,5,2,9,7,9,5,448.650326069122
5,4,7,4,8,3,0,4,8,7,-18.16520743733328
6,1,7,6,6,3,7,8,5,0,97.8450740548403
6,2,1,6,7,9,4,1,1,3,-102.43050898587055
8,6,9,7,1,1,2,2,1,1,153.72924277477154
8,4,1,7,1,9,1,2,5,5,-27.03539980370498
8,8,0,5,8,5,5,1,1,9,-11.299567103895491
2,9,7,6,1,2,5,0,3,7,21.347379148217165
