X_0,X_1,X_2,X_3,target
4,3,5,6,1.4447531737808739
9,9,10,3,1.5135704482293502
7,2,7,4,1.3717965462284318
3,2,4,0,1.4072871234225997
3,4,1,1,1.3100301956134472
1,6,1,7,1.504213851429065
8,8,8,2,1.503972931886122
6,6,0,7,0.8547363758190301
0,2,9,5,1.5556848114095572
4,1,7,9,1.3847374224118918
7,8,0,5,0.8829153563072504
1,3,5,4,1.5312034521796682
6,3,7,4,1.4209560596985364
8,8,2,6,1.3852008189968776
7,8,5,4,1.48037379774022
7,1,1,6,0.7312246833724181
7,0,9,3,1.2188738403126433
0,4,1,0,1.4696275776170256
1,6,4,6,1.5339323436887011
4,10,0,7,1.262652080284961
6,9,2,3,1.4254164002070908
0,6,7,5,1.5614636146314085
9,3,8,5,1.3787764146289154
6,1,8,4,1.370345414006006
9,6,0,2,0.4493699848656028
2,1,9,5,1.4592036711182632
5,6,7,4,1.4952463638040288
2,6,2,9,1.5025557251143566
3,7,0,9,1.0721801982915535
5,8,3,0,1.4610363933115669
4,7,5,1,1.510583477776264
6,0,8,5,1.2346266850162193
6,5,6,8,1.4606867793150833
6,5,6,9,1.4605043132749003
9,6,6,3,1.446022137426276
7,5,8,8,1.469310602504928
6,6,3,1,1.3887991698497193
0,5,7,1,1.5678661708801855
1,5,3,7,1.5264594391488422
7,9,6,2,1.4952065610086858
3,0,7,8,1.3431568407768588
2,1,6,4,1.4533523370115857
9,4,4,4,1.31072117269912
3,6,3,9,1.462715368386315
0,1,2,1,1.417023701970357
1,8,9,7,1.562382523263676
7,2,0,0,0.20263634977045142
0,9,4,8,1.5686266069005486
1,5,4,8,1.5302140646631952
1,1,0,9,1.2701444249612364
2,7,2,10,1.5022862010359646
9,3,5,3,1.309875413757622
3,5,9,2,1.5268947752249775
8,2,2,0,1.022428753029179
3,4,4,8,1.4734857807317456
4,7,3,8,1.452551028798021
9,9,2,8,1.3926474365593884
8,6,4,6,1.3931982128144766
1,9,2,3,1.531304222952474
4,8,5,6,1.529484912191091
3,9,5,5,1.5401693920105883
6,4,9,3,1.4836062325822759
1,2,6,1,1.5184256369101385
0,2,1,7,1.4469810201672
3,3,2,6,1.3525831984428325
7,4,8,9,1.4468196341621462
5,0,5,4,1.1593919604697176
8,1,8,9,1.2601366201686186
1,8,3,1,1.5394186036031137
4,2,5,1,1.4012332977795112
6,5,9,5,1.499922839123083
8,7,1,7,1.2483020504253468
7,2,1,2,1.0077531432040832
6,0,5,2,1.0749544687258028
1,8,4,3,1.549644090506398
8,1,7,0,1.2117860517045345
5,7,4,6,1.4744822590534328
3,1,1,1,1.1939577188418453
5,6,5,1,1.4993627086315164
5,1,5,2,1.1923966965563075
2,9,7,8,1.5521823900618779
8,4,1,8,1.0243833893430185
1,3,7,9,1.5226806971653968
4,8,9,2,1.5391097633764554
4,4,1,2,1.2808145725433473
10,0,3,5,0.4539864575895377
9,4,8,6,1.4050505487443319
1,2,0,1,1.3245057038131651
3,5,6,7,1.5146305309294885
4,0,3,2,0.9066629042357757
4,2,4,1,1.385638151212171
9,5,0,0,0.021343891913079636
5,4,2,5,1.3322552198346307
2,2,1,6,1.260701476410566
0,4,9,0,1.558781052547579
2,6,6,4,1.5426563526465893
5,8,7,4,1.5195627640857723
7,9,3,0,1.4546614622627314
5,3,1,7,1.0099714224172835
0,0,9,9,1.5659799917538262
