age,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_nan,workclass_infrequent_sklearn,fnlwgt,education_11th,education_Assoc-voc,education_Bachelors,education_HS-grad,education_Masters,education_Some-college,education_infrequent_sklearn,education-num,marital-status_Divorced,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed,marital-status_infrequent_sklearn,occupation_Adm-clerical,occupation_Craft-repair,occupation_Exec-managerial,occupation_Other-service,occupation_Prof-specialty,occupation_Sales,occupation_infrequent_sklearn,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White,sex_Male,capitalgain,capitalloss,hoursperweek,native-country_Germany,native-country_Mexico,native-country_Philippines,native-country_Puerto-Rico,native-country_United-States,native-country_nan,native-country_infrequent_sklearn,target
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,188950.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,>50K
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1033222.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,129707.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,>50K
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,>50K
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,159537.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96586.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,>50K
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,165346.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,142712.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,175964.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229656.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,>50K
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25806.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,<=50K
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,340543.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31781.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56121.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,126840.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67187.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=50K
