,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.0,0.0625,0.625,0.0,0.0625,0.15625,0.03125,0.0625
1,0.0,0.75,0.0625,0.0,0.0,0.125,0.03125,0.03125
2,0.15625,0.59375,0.0625,0.03125,0.03125,0.03125,0.03125,0.0625
3,0.125,0.0,0.0,0.0,0.0,0.0625,0.03125,0.78125
4,0.09375,0.0625,0.03125,0.0625,0.0,0.03125,0.6875,0.03125
5,0.125,0.0,0.0,0.0625,0.0,0.125,0.5625,0.125
6,0.09375,0.0625,0.0,0.0,0.03125,0.71875,0.0625,0.03125
7,0.75,0.09375,0.0,0.0,0.0,0.0,0.03125,0.125
8,0.09375,0.0,0.0,0.03125,0.0,0.09375,0.0,0.78125
9,0.0625,0.09375,0.0,0.0625,0.0,0.75,0.03125,0.0
10,0.15625,0.09375,0.03125,0.0,0.5,0.125,0.09375,0.0
11,0.03125,0.03125,0.03125,0.75,0.0,0.0625,0.0625,0.03125
12,0.0,0.0625,0.03125,0.0,0.0,0.0,0.0,0.90625
13,0.0625,0.03125,0.0,0.03125,0.0625,0.78125,0.03125,0.0
14,0.90625,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.0
15,0.90625,0.03125,0.0,0.0,0.03125,0.0,0.03125,0.0
