,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.16124265,0.14541698,0.0582312,0.096250765,0.18690425,0.16617979,0.108858965,0.07691522
1,0.10725605,0.30299175,0.010581593,0.09085981,0.07074739,0.370451,0.0059562973,0.041156236
2,0.17088364,0.24279338,0.027401717,0.09352169,0.1526977,0.22990789,0.025833415,0.05696065
3,0.3678063,0.1597591,0.004211486,0.05912558,0.15390997,0.23287034,0.0010405307,0.021276552
4,0.1104803,0.31107247,0.002684981,0.067307234,0.045317657,0.44190788,0.0005995504,0.020629928
5,0.26127934,0.18207233,0.020988697,0.08056107,0.20333852,0.18959035,0.015834615,0.04633523
6,0.3135233,0.1248966,0.026174294,0.069490336,0.26788792,0.1286894,0.024260115,0.045077827
7,0.2861732,0.14894903,0.019959247,0.08114859,0.21316946,0.18878028,0.015457285,0.04636286
8,0.34816235,0.097632624,0.030415444,0.04656605,0.3478484,0.064020075,0.030610746,0.03474435
9,0.19402438,0.20048718,0.028245743,0.09552004,0.1699578,0.22445285,0.028303111,0.05900872
10,0.20168562,0.14479247,0.05504245,0.079738334,0.24065885,0.121989116,0.09124646,0.064846545
11,0.31163293,0.11081412,0.036198545,0.055179548,0.32459956,0.07828265,0.04130971,0.04198293
12,0.37497747,0.15835308,0.003845152,0.057542153,0.15192017,0.2322676,0.0008906614,0.020203674
13,0.34697744,0.09812775,0.029758915,0.050140757,0.33629915,0.07211839,0.029964821,0.036612716
14,0.17094702,0.18484907,0.031125719,0.105512515,0.15363571,0.250382,0.036694493,0.06685346
15,0.22205117,0.21355712,0.012049712,0.08614847,0.1390814,0.2799385,0.0064851553,0.040688556
