,Prob_0,Prob_1,Prob_2
0,0.9790016,0.013083811,0.00791458
1,0.9701046,0.020603092,0.009292316
2,0.9791465,0.012935962,0.007917541
3,0.9683732,0.021712365,0.009914455
4,0.9806529,0.011665781,0.007681299
5,0.96396047,0.024382181,0.011657335
6,0.9772242,0.01426799,0.008507817
7,0.97403294,0.017176872,0.008790184
8,0.968121,0.021563346,0.010315658
9,0.96989876,0.020728454,0.009372773
10,0.97583103,0.01527812,0.008890854
11,0.96989936,0.020434026,0.009666623
12,0.97280926,0.018234506,0.008956233
13,0.9822522,0.009839185,0.00790865
14,0.98237514,0.009288708,0.0083361445
15,0.9742985,0.014541357,0.01116019
16,0.98088783,0.010988505,0.008123645
17,0.9772957,0.014450493,0.00825379
18,0.9600919,0.027466208,0.012441918
19,0.9774955,0.0138936145,0.0086108865
20,0.95729667,0.031093791,0.0116095655
21,0.9742091,0.01665037,0.00914056
22,0.9884773,0.0054261754,0.006096517
23,0.94518936,0.04169587,0.013114798
24,0.9447305,0.04163732,0.013632175
25,0.95533437,0.033334874,0.01133074
26,0.9626772,0.026621781,0.010701039
27,0.9745287,0.016680917,0.008790416
28,0.9769078,0.014844991,0.008247208
29,0.9648489,0.024744315,0.0104067875
30,0.9610157,0.028205054,0.010779265
31,0.9650627,0.02454602,0.0103913015
32,0.9818632,0.010003816,0.008133008
33,0.9815668,0.009915387,0.00851783
34,0.9673135,0.02294264,0.0097438395
35,0.9813254,0.011333343,0.0073412866
36,0.9791961,0.0127364695,0.008067432
37,0.98223126,0.010383127,0.007385599
38,0.97529864,0.015639523,0.00906181
39,0.97341055,0.017707791,0.008881643
40,0.9809943,0.011474742,0.007530985
41,0.94476455,0.04123062,0.0140048275
42,0.97894734,0.012695589,0.008357061
43,0.95786726,0.030403221,0.011729522
44,0.9484059,0.03758561,0.014008489
45,0.9679141,0.022377497,0.009708411
46,0.9754199,0.015506731,0.009073371
47,0.97560173,0.015700685,0.008697562
48,0.9767155,0.0146285985,0.008655922
49,0.9764071,0.015314286,0.008278631
50,0.01502058,0.9443001,0.04067929
51,0.010197482,0.95714813,0.032654397
52,0.011463354,0.8108768,0.17765985
53,0.005701828,0.9750229,0.019275233
54,0.007217452,0.9028318,0.08995077
55,0.0055642263,0.9418047,0.052631054
