,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.084475376,0.13133232,0.08611162,0.11929404,0.14592876,0.20522279,0.15679285,0.07084224
1,0.05278931,0.06546891,0.14754112,0.090923205,0.09200047,0.12639554,0.21519612,0.20968547
2,0.05378723,0.06588388,0.15716651,0.08663569,0.09135022,0.250518,0.21607992,0.07857868
3,0.051355604,0.090292946,0.101615846,0.07574339,0.10342278,0.08313497,0.097544335,0.39689004
4,0.05854808,0.040026627,0.09691009,0.06268854,0.059483234,0.12127738,0.038855612,0.52221024
5,0.065663435,0.089288466,0.21218877,0.10779306,0.13007031,0.14984158,0.088198915,0.15695538
6,0.048719335,0.058122996,0.18554504,0.1174295,0.13511084,0.12556987,0.20796944,0.1215329
7,0.027665962,0.08252478,0.07261615,0.06546933,0.042865038,0.14270051,0.100020304,0.46613783
8,0.04788307,0.043451134,0.16241424,0.10301192,0.085141316,0.056863043,0.09559591,0.40563938
9,0.03351145,0.038712125,0.14885764,0.10321514,0.11697701,0.09115027,0.38712603,0.08045043
10,0.08566435,0.07380829,0.15607269,0.1263034,0.0588247,0.17833427,0.16250849,0.15848407
11,0.06790594,0.14101446,0.12788305,0.07877748,0.127436,0.1595281,0.1463328,0.15112226
12,0.045557756,0.09310333,0.105895475,0.075006396,0.10698642,0.078108154,0.09627178,0.39907074
13,0.044250164,0.036683913,0.14133136,0.16653056,0.14786674,0.10960627,0.18654989,0.16718091
14,0.03503451,0.07343395,0.083810195,0.06630433,0.04213259,0.1087351,0.1866662,0.40388322
15,0.029920548,0.051056515,0.08023189,0.06448547,0.042055286,0.15824488,0.16696914,0.40703645
