,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.13329585,0.26968625,0.010760078,0.04925258,0.043195233,0.17299719,0.18475756,0.13605528
1,0.100041434,0.08388659,0.0859186,0.08614644,0.0813406,0.088916615,0.31058058,0.16316912
2,0.09836562,0.08982972,0.094240606,0.08629494,0.08431401,0.10886093,0.30057827,0.1375159
3,0.12720901,0.129917,0.07855134,0.07563554,0.08717843,0.06279961,0.15570495,0.28300413
4,0.102744296,0.39522356,0.08467752,0.05108095,0.07837769,0.07702647,0.07372984,0.13713968
5,0.100860186,0.29945353,0.071038716,0.050275967,0.072209105,0.14106557,0.071008705,0.19408824
6,0.07584389,0.16115215,0.07241951,0.07523329,0.08879085,0.3014311,0.096658334,0.12847087
7,0.28091443,0.12465249,0.08071244,0.10015451,0.077792786,0.06172799,0.097535014,0.17651033
8,0.14358664,0.11363858,0.08360353,0.078007735,0.10324841,0.07157188,0.10001185,0.30633137
9,0.07593361,0.17101084,0.0691197,0.06874123,0.089479856,0.31481794,0.09489941,0.11599743
10,0.17803986,0.2946067,0.04830502,0.061913747,0.013950158,0.089390025,0.21158734,0.10220717
11,0.08272512,0.36674938,0.06527105,0.02310799,0.07360011,0.13251118,0.0960307,0.16000448
12,0.1013644,0.1432763,0.08595489,0.07499109,0.09297393,0.058863774,0.14285082,0.2997248
13,0.08055714,0.16968705,0.06547707,0.075590216,0.0726251,0.30707085,0.12157948,0.10741308
14,0.2854786,0.1487978,0.07967884,0.09829076,0.067945786,0.07470445,0.086136214,0.15896755
15,0.2796782,0.14220262,0.08205711,0.10098782,0.074360706,0.0653538,0.09138325,0.1639765
