,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.12261663,0.2773997,0.034197796,0.07619845,0.07214478,0.1742814,0.076473735,0.16668752
1,0.17843208,0.123785354,0.099334784,0.09341658,0.094409265,0.13991366,0.08423744,0.18647084
2,0.16217683,0.13208733,0.104857914,0.09209606,0.0942117,0.16564983,0.07678995,0.17213036
3,0.23922953,0.14244981,0.10289528,0.0933557,0.111742765,0.075149074,0.09871494,0.1364629
4,0.13160618,0.26061448,0.098173104,0.06732406,0.09079446,0.10777496,0.0504515,0.19326127
5,0.12827834,0.2423608,0.07654417,0.057114627,0.076509856,0.19551352,0.03614942,0.18752925
6,0.10769949,0.1583556,0.10356891,0.1043165,0.11846613,0.15173845,0.09380806,0.16204688
7,0.079299666,0.120330594,0.09817545,0.11190673,0.09269455,0.07857691,0.10596365,0.31305245
8,0.33033577,0.10561119,0.081923135,0.07147434,0.10103255,0.06920453,0.063006,0.1774125
9,0.10366172,0.167678,0.10102506,0.09929494,0.119662434,0.15805356,0.0920252,0.1585991
10,0.122504145,0.29458496,0.08417376,0.0938112,0.042848904,0.10947862,0.085974716,0.1666237
11,0.1240059,0.2817449,0.080685295,0.04283499,0.08672919,0.1639042,0.049477894,0.17061763
12,0.2204498,0.14815873,0.10989107,0.09305156,0.11742177,0.082574405,0.08687059,0.14158207
13,0.09944001,0.16590801,0.100875296,0.10840625,0.106668755,0.15918149,0.10768361,0.15183657
14,0.07874567,0.1469661,0.0995739,0.11383445,0.08485207,0.10005437,0.09481575,0.2811577
15,0.075132675,0.1363034,0.10154388,0.11520972,0.09134886,0.08778863,0.10049494,0.2921779
