,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.13652214,0.28095618,0.013352274,0.054839678,0.046763334,0.14752819,0.17659989,0.14343832
1,0.105260886,0.09221683,0.089729376,0.09089512,0.0844029,0.08426175,0.28238088,0.17085227
2,0.102714986,0.09765405,0.09789297,0.09056582,0.08692759,0.09929026,0.2734212,0.1515331
3,0.13994409,0.13151996,0.0788631,0.07646853,0.08707673,0.054623753,0.16128969,0.27021414
4,0.10255338,0.38867685,0.08395194,0.05048845,0.07694758,0.07525823,0.074224815,0.14789873
5,0.10603351,0.2923462,0.06919336,0.04928928,0.06966928,0.13541639,0.07023117,0.20782082
6,0.07992248,0.16348945,0.07285594,0.07709577,0.08929313,0.3031203,0.08241485,0.1318081
7,0.28175253,0.12392487,0.080980875,0.101827934,0.07749307,0.056231413,0.09613958,0.18164976
8,0.17403646,0.11379397,0.08267298,0.07672947,0.10199222,0.067982174,0.10731191,0.2754808
9,0.07926117,0.17330614,0.0694388,0.07103527,0.08995315,0.3150982,0.08044743,0.121459864
10,0.17610742,0.30532977,0.05059762,0.065401435,0.015423458,0.079155594,0.19508357,0.112901114
11,0.085861795,0.3647822,0.06533069,0.02619326,0.07309852,0.12283334,0.091350146,0.17055003
12,0.11196539,0.14548516,0.08676758,0.07598019,0.093102336,0.054984838,0.14854541,0.2831691
13,0.08334767,0.172458,0.06683943,0.07895311,0.074029,0.3112943,0.10068722,0.1123913
14,0.2834562,0.14823963,0.08007398,0.09993223,0.06759511,0.06912113,0.0853099,0.16627179
15,0.27930012,0.14138976,0.08247727,0.10250761,0.07427246,0.0601032,0.090663016,0.16928656
