,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7
0,0.08238501,0.13295627,0.087756954,0.123767465,0.14740753,0.17588612,0.14959252,0.100248046
1,0.04489104,0.04387019,0.11504,0.06997097,0.06832784,0.09714503,0.17766461,0.38309017
2,0.054496147,0.07110537,0.16665494,0.09387196,0.09589616,0.217562,0.21631292,0.08410047
3,0.0516348,0.09293946,0.104410134,0.077429384,0.105510876,0.07672576,0.104914054,0.3864354
4,0.07378885,0.08531062,0.15413168,0.11849036,0.101778,0.16656205,0.111257665,0.18868074
5,0.06652116,0.088887684,0.21463668,0.10982155,0.12977812,0.14819403,0.08705699,0.15510398
6,0.04866371,0.05816087,0.18561654,0.1185285,0.13502769,0.12564874,0.20772749,0.12062647
7,0.030009625,0.08578992,0.07621712,0.06920394,0.044694412,0.12978187,0.102517985,0.46178526
8,0.052866172,0.044486344,0.16692509,0.10490432,0.08576368,0.056650713,0.105569504,0.38283402
9,0.049617067,0.06037092,0.17860942,0.11500045,0.13733101,0.12873632,0.21133381,0.11900076
10,0.08647501,0.0757035,0.16140491,0.1323068,0.0603575,0.16190237,0.16107456,0.16077538
11,0.068367824,0.1419051,0.12959222,0.08994396,0.12855044,0.15020716,0.14128421,0.15014914
12,0.0455493,0.09517725,0.10842164,0.07620151,0.10845584,0.075107336,0.1032442,0.387843
13,0.04795152,0.04140703,0.14969167,0.18546733,0.15557198,0.12150922,0.11359671,0.18480445
14,0.035472576,0.07448214,0.08531427,0.06866586,0.042364348,0.09898106,0.1830602,0.4116595
15,0.035393715,0.07438973,0.08566736,0.0734998,0.04426346,0.15183492,0.109387994,0.4255628
