,Prob_0,Prob_1,Prob_2
0,0.071820356,0.16519116,0.7629885
1,0.06918069,0.6642911,0.26652825
2,0.07118118,0.068577595,0.86024123
3,0.069337755,0.16532183,0.7653404
4,0.06976563,0.062286403,0.867948
5,0.06752809,0.833912,0.09855989
6,0.06911722,0.833745,0.09713779
7,0.06977302,0.7494787,0.18074828
8,0.77124935,0.15609108,0.072659604
9,0.7286669,0.19778706,0.07354601
10,0.73101705,0.19794655,0.0710364
11,0.065809004,0.79930246,0.13488853
12,0.13335472,0.8077327,0.05891256
13,0.064369306,0.8278664,0.10776434
14,0.07087828,0.10943931,0.8196824
15,0.7533296,0.17466708,0.072003335
