,Prob_0,Prob_1,Prob_2
0,0.4379315,0.41939938,0.14266904
1,0.43754563,0.41808876,0.14436558
2,0.43902996,0.42175034,0.13921966
3,0.43850216,0.41038153,0.15111627
4,0.44226977,0.42081794,0.13691227
5,0.42764527,0.4107625,0.16159227
6,0.42512834,0.4149891,0.15988258
7,0.4383501,0.41664287,0.14500701
8,0.42177406,0.4157723,0.16245356
9,0.42070168,0.40908834,0.17021
10,0.41593477,0.41486555,0.1691997
11,0.43012592,0.4145584,0.15531562
12,0.41499045,0.40665698,0.17835256
13,0.4238724,0.4111906,0.164937
14,0.4432588,0.42021585,0.1365253
15,0.4160844,0.41055596,0.17335963
